query_text	PMid	title	source	time_article_has_been_cited	pubdate
glioma AND expression AND DICER1[Gene]	30621721	MOV10 binding circ-DICER1 regulates the angiogenesis of glioma via miR-103a-3p/miR-382-5p mediated ZIC4 expression change.	J Exp Clin Cancer Res	4	2019 Jan 8
glioma AND expression AND DICER1[Gene]	26773048	MicroRNA Biogenesis and Hedgehog-Patched Signaling Cooperate to Regulate an Important Developmental Transition in Granule Cell Development.	Genetics	3	2016 Mar
glioma AND expression AND DICER1[Gene]	25323651	Drosophila oncogene Gas41 is an RNA interference modulator that intersects heterochromatin and the small interfering RNA pathway.	FEBS J	3	2015 Jan
glioma AND expression AND DICER1[Gene]	17663465	Markers of mRNA stabilization and degradation, and RNAi within astrocytoma GW bodies.	J Neurosci Res	12	2007 Dec
glioma AND expression AND DICER1[Gene]	19806572	[The effect of silencing Dicer by small interference RNA on the biological characteristics of human glioma cells].	Zhonghua Yi Xue Yi Chuan Xue Za Zhi	1	2009 Oct
glioma AND expression AND DICER1[Gene]	27421140	DICER governs characteristics of glioma stem cells and the resulting tumors in xenograft mouse models of glioblastoma.	Oncotarget		2016 Aug 30
glioma AND expression AND DNM2[Gene]	1	Exosomes impact survival to radiation exposure in cell line models of nervous system cancer.	Oncotarget	2	2018 Nov 16
glioma AND expression AND DNMT3A[Gene]	29861161	MLL4 Is Required to Maintain Broad H3K4me3 Peaks and Super-Enhancers at Tumor Suppressor Genes.	Mol Cell	9	2018 Jun 7
glioma AND expression AND DNMT3A[Gene]	27212030	Integrative functional genomic analysis identifies epigenetically regulated fibromodulin as an essential gene for glioma cell migration.	Oncogene	7	2017 Jan 5
glioma AND expression AND DNMT3A[Gene]	26892683	Expression of DNA methyltransferases 1 and 3B correlates with EZH2 and this 3-marker epigenetic signature predicts outcome in glioblastomas.	Exp Mol Pathol	6	2016 Apr
glioma AND expression AND DNMT3A[Gene]	21229291	Epigenetic regulation of DNA methyltransferases: DNMT1 and DNMT3B in gliomas.	J Neurooncol	35	2011 Sep
glioma AND expression AND DNMT3A[Gene]	17653095	Loss of pericentromeric DNA methylation pattern in human glioblastoma is associated with altered DNA methyltransferases expression and involves the stem cell compartment.	Oncogene	26	2008 Jan 10
glioma AND expression AND DNMT3A[Gene]	21364627	Impact of the DNA methyltransferases expression on the methylation status of apoptosis-associated genes in glioblastoma multiforme.	Cell Death Dis	22	2010
glioma AND expression AND DNMT3A[Gene]	19451595	Folate supplementation limits the aggressiveness of glioma via the remethylation of DNA repeats element and genes governing apoptosis and proliferation.	Clin Cancer Res	21	2009 May 15
glioma AND expression AND DNMT3A[Gene]	30323870	MicroRNA-129-5p inhibits human glioma cell proliferation and induces cell cycle arrest by directly targeting DNMT3A.	Am J Transl Res	2	2018
glioma AND expression AND DNMT3A[Gene]	28454437	Polycomb group expression signatures in the malignant progression of gliomas.	Oncol Lett	2	2017 Apr
glioma AND expression AND DNMT3A[Gene]	23051921	PGE2 induces interleukin-8 derepression in human astrocytoma through coordinated DNA demethylation and histone hyperacetylation.	Epigenetics	15	2012 Nov
glioma AND expression AND DNMT3A[Gene]	25829251	MiR-101 reverses the hypomethylation of the LMO3 promoter in glioma cells.	Oncotarget	14	2015 Apr 10
glioma AND expression AND DNMT3A[Gene]	25349213	Loss of nucleolar histone chaperone NPM1 triggers rearrangement of heterochromatin and synergizes with a deficiency in DNA methyltransferase DNMT3A to drive ribosomal DNA transcription.	J Biol Chem	13	2014 Dec 12
glioma AND expression AND DNMT3A[Gene]	26701852	miR-101 reverses hypomethylation of the PRDM16 promoter to disrupt mitochondrial function in astrocytoma cells.	Oncotarget	10	2016 Jan 26
glioma AND expression AND DNMT3A[Gene]	25625222	miR-29s inhibit the malignant behavior of U87MG glioblastoma cell line by targeting DNMT3A and 3B.	Neurosci Lett	10	2015 Mar 17
glioma AND expression AND DNMT3A[Gene]	27543768	High expression of DNA methyltransferases in primary human medulloblastoma.	Folia Neuropathol	1	2016
glioma AND expression AND DNMT3A[Gene]	28530704	Upregulation of CYP17A1 by Sp1-mediated DNA demethylation confers temozolomide resistance through DHEA-mediated protection in glioma.	Oncogenesis		2017 May 22
glioma AND expression AND DROSHA[Gene]	28986522	Mammalian APE1 controls miRNA processing and its interactome is linked to cancer RNA metabolism.	Nat Commun	8	2017 Oct 6
glioma AND expression AND DROSHA[Gene]	26121981	DEAD-box RNA helicase DDX23 modulates glioma malignancy via elevating miR-21 biogenesis.	Brain	8	2015 Sep
glioma AND expression AND DROSHA[Gene]	19520829	Dicer-regulated microRNAs 222 and 339 promote resistance of cancer cells to cytotoxic T-lymphocytes by down-regulation of ICAM-1.	Proc Natl Acad Sci U S A	71	2009 Jun 30
glioma AND expression AND DROSHA[Gene]	23811941	AC1MMYR2, an inhibitor of dicer-mediated biogenesis of Oncomir miR-21, reverses epithelial-mesenchymal transition and suppresses tumor growth and progression.	Cancer Res	54	2013 Sep 1
glioma AND expression AND DROSHA[Gene]	30621721	MOV10 binding circ-DICER1 regulates the angiogenesis of glioma via miR-103a-3p/miR-382-5p mediated ZIC4 expression change.	J Exp Clin Cancer Res	4	2019 Jan 8
glioma AND expression AND DROSHA[Gene]	26773048	MicroRNA Biogenesis and Hedgehog-Patched Signaling Cooperate to Regulate an Important Developmental Transition in Granule Cell Development.	Genetics	3	2016 Mar
glioma AND expression AND DROSHA[Gene]	25323651	Drosophila oncogene Gas41 is an RNA interference modulator that intersects heterochromatin and the small interfering RNA pathway.	FEBS J	3	2015 Jan
glioma AND expression AND DROSHA[Gene]	26766590	MiR-215 Is Induced Post-transcriptionally via HIF-Drosha Complex and Mediates Glioma-Initiating Cell Adaptation to Hypoxia by Targeting KDM1B.	Cancer Cell	24	2016 Jan 11
glioma AND expression AND DROSHA[Gene]	26240386	Genome-wide analysis of YB-1-RNA interactions reveals a novel role of YB-1 in miRNA processing in glioblastoma multiforme.	Nucleic Acids Res	13	2015 Sep 30
glioma AND expression AND DROSHA[Gene]	17663465	Markers of mRNA stabilization and degradation, and RNAi within astrocytoma GW bodies.	J Neurosci Res	12	2007 Dec
glioma AND expression AND DROSHA[Gene]	19806572	[The effect of silencing Dicer by small interference RNA on the biological characteristics of human glioma cells].	Zhonghua Yi Xue Yi Chuan Xue Za Zhi	1	2009 Oct
glioma AND expression AND DROSHA[Gene]	27421140	DICER governs characteristics of glioma stem cells and the resulting tumors in xenograft mouse models of glioblastoma.	Oncotarget		2016 Aug 30
glioma AND expression AND EBF1[Gene]	1	Meta-analysis of IDH-mutant cancers identifies EBF1 as an interaction partner for TET2.	Nat Commun	54	2013
glioma AND expression AND EIF3E[Gene]	25823503	Eukaryotic initiation factor 3C silencing inhibits cell proliferation and promotes apoptosis in human glioma.	Oncol Rep	7	2015 Jun
glioma AND expression AND EIF3E[Gene]	26137101	Eukaryotic translation initiation factor 3, subunit C is overexpressed and promotes cell proliferation in human glioma U-87 MG cells.	Oncol Lett	6	2015 Jun
glioma AND expression AND EIF3E[Gene]	18232056	Unique proteomic features induced by a potential antiglioma agent, Nordy (dl-nordihydroguaiaretic acid), in glioma cells.	Proteomics	3	2008 Feb
glioma AND expression AND EIF3E[Gene]	25682860	RNAi-Mediated Silencing of EIF3D Alleviates Proliferation and Migration of Glioma U251 and U87MG Cells.	Chem Biol Drug Des	2	2015 Oct
glioma AND expression AND EIF3E[Gene]	22234522	Knockdown of eukaryotic translation initiation factors 3B (EIF3B) inhibits proliferation and promotes apoptosis in glioblastoma cells.	Neurol Sci	13	2012 Oct
glioma AND expression AND EIF3E[Gene]	24481065	Int6/eIF3e is essential for proliferation and survival of human glioblastoma cells.	Int J Mol Sci	10	2014 Jan 29
glioma AND expression AND EIF3E[Gene]	31171919	Systematically profiling the expression of eIF3 subunits in glioma reveals the expression of eIF3i has prognostic value in IDH-mutant lower grade glioma.	Cancer Cell Int		2019
glioma AND expression AND ELF4[Gene]	27900644	Elevated levels of p-Mnk1, p-eIF4E and p-p70S6K proteins are associated with tumor recurrence and poor prognosis in astrocytomas.	J Neurooncol	8	2017 Feb
glioma AND expression AND ELF4[Gene]	29535786	Association of Glioblastoma Multiforme Stem Cell Characteristics, Differentiation, and Microglia Marker Genes with Patient Survival.	Stem Cells Int	6	2018
glioma AND expression AND ELF4[Gene]	27440383	peIF4E as an independent prognostic factor and a potential therapeutic target in diffuse infiltrating astrocytomas.	Cancer Med	6	2016 Sep
glioma AND expression AND ELF4[Gene]	23217424	MEF promotes stemness in the pathogenesis of gliomas.	Cell Stem Cell	13	2012 Dec 7
glioma AND expression AND ELF4[Gene]	29991314	Whole-Genome mRNA Gene Expression Differs Between Patients With and Without Delirium.	J Geriatr Psychiatry Neurol		2018 Jul
glioma AND expression AND EP300[Gene]	24465898	The role of factor inhibiting HIF (FIH-1) in inhibiting HIF-1 transcriptional activity in glioblastoma multiforme.	PLoS One	8	2014
glioma AND expression AND EP300[Gene]	30054476	A novel enhancer regulates MGMT expression and promotes temozolomide resistance in glioblastoma.	Nat Commun	6	2018 Jul 27
glioma AND expression AND EP300[Gene]	21489305	Discovering functional modules by identifying recurrent and mutually exclusive mutational patterns in tumors.	BMC Med Genomics	50	2011 Apr 14
glioma AND expression AND EP300[Gene]	18779315	The ING4 tumor suppressor attenuates NF-kappaB activity at the promoters of target genes.	Mol Cell Biol	47	2008 Nov
glioma AND expression AND EP300[Gene]	29084603	Characterizing temporal genomic heterogeneity in pediatric high-grade gliomas.	Acta Neuropathol Commun	4	2017 Oct 30
glioma AND expression AND EP300[Gene]	27633132	Combination of lentivirus-mediated silencing of PPM1D and temozolomide chemotherapy eradicates malignant glioma through cell apoptosis and cell cycle arrest.	Oncol Rep	3	2016 Nov
glioma AND expression AND EP300[Gene]	14712485	Fine mapping of chromosome 22q tumor suppressor gene candidate regions in astrocytoma.	Int J Cancer	3	2004 Mar 1
glioma AND expression AND EP300[Gene]	22923450	Arylsulfonamide KCN1 inhibits in vivo glioma growth and interferes with HIF signaling by disrupting HIF-1α interaction with cofactors p300/CBP.	Clin Cancer Res	25	2012 Dec 15
glioma AND expression AND EP300[Gene]	21304179	p300- and Myc-mediated regulation of glioblastoma multiforme cell differentiation.	Oncotarget	14	2010 Aug
glioma AND expression AND EP300[Gene]	24607407	Osteopontin-CD44 signaling in the glioma perivascular niche enhances cancer stem cell phenotypes and promotes aggressive tumor growth.	Cell Stem Cell	126	2014 Mar 6
glioma AND expression AND EP300[Gene]	21807073	Candidate genes influencing sensitivity and resistance of human glioblastoma to Semustine.	Brain Res Bull	12	2011 Oct 10
glioma AND expression AND EP300[Gene]	26972001	Retinoblastoma Binding Protein 4 Modulates Temozolomide Sensitivity in Glioblastoma by Regulating DNA Repair Proteins.	Cell Rep	11	2016 Mar 22
glioma AND expression AND EP300[Gene]	25909290	Expression alterations define unique molecular characteristics of spinal ependymomas.	Oncotarget	1	2015 Aug 14
glioma AND expression AND EP300[Gene]	31104347	High-grade neuroepithelial tumor with BCOR exon 15 internal tandem duplication-a comprehensive clinical, radiographic, pathologic, and genomic analysis.	Brain Pathol		2019 May 18
glioma AND expression AND EP300[Gene]	30366000	Bradykinin B1 receptor contributes to interleukin-8 production and glioblastoma migration through interaction of STAT3 and SP-1.	Neuropharmacology		2019 Jan
glioma AND expression AND EP300[Gene]	25875864	Resveratrol Represses Pokemon Expression in Human Glioma Cells.	Mol Neurobiol		2016 Mar
glioma AND expression AND EP300[Gene]	23407894	Expression of histone acetylases p300 and PCAF in pediatric astrocytomas.	Childs Nerv Syst		2013 Jul
glioma AND expression AND EPAS1[Gene]	17982672	Oncostatin M-induced genes in human astrocytomas.	Int J Oncol	5	2007 Dec
glioma AND expression AND EPAS1[Gene]	28302031	HIF1A is Overexpressed in Medulloblastoma and its Inhibition Reduces Proliferation and Increases EPAS1 and ATG16L1 Methylation.	Curr Cancer Drug Targets	3	2018
glioma AND expression AND EPAS1[Gene]	26735018	An ID2-dependent mechanism for VHL inactivation in cancer.	Nature	26	2016 Jan 14
glioma AND expression AND EPAS1[Gene]	24994751	Decreased expression of cystathionine β-synthase promotes glioma tumorigenesis.	Mol Cancer Res	13	2014 Oct
glioma AND expression AND EPAS1[Gene]	26255341	INHIBITION OF ERN1 SIGNALING ENZYME AFFECTS HYPOXIC REGULATION OF THE EXPRESSION OF E2F8, EPAS1, HOXC6, ATF3, TBX3 AND FOXF1 GENES IN U87 GLIOMA CELLS.	Ukr Biochem J	1	2015 Mar-Apr
glioma AND expression AND EPAS1[Gene]	29537195	Expression of proliferation related transcription factor genes in U87 glioma cells with IRE1 knockdown: upon glucose and glutamine deprivation.	Fiziol Zh		2016
glioma AND expression AND EPS15[Gene]	24306026	Ehd3, a regulator of vesicular trafficking, is silenced in gliomas and functions as a tumor suppressor by controlling cell cycle arrest and apoptosis.	Carcinogenesis	5	2014 Apr
glioma AND expression AND EPS15[Gene]	10673336	EHD2, EHD3, and EHD4 encode novel members of a highly conserved family of EH domain-containing proteins.	Genomics	30	2000 Jan 15
glioma AND expression AND EPS15[Gene]	16101684	ApoER2 is endocytosed by a clathrin-mediated process involving the adaptor protein Dab2 independent of its Rafts' association.	Traffic	27	2005 Sep
glioma AND expression AND EPS15[Gene]	17919781	Internalization and degradation of the glutamate transporter GLT-1 in response to phorbol ester.	Neurochem Int	23	2008 Mar-Apr
glioma AND expression AND ERBB4[Gene]	25859842	An open-label, two-stage, phase II study of bevacizumab and lapatinib in children with recurrent or refractory ependymoma: a collaborative ependymoma research network study (CERN).	J Neurooncol	9	2015 May
glioma AND expression AND ERBB4[Gene]	20467331	Differential distribution of erbB receptors in human glioblastoma multiforme: expression of erbB3 in CD133-positive putative cancer stem cells.	J Neuropathol Exp Neurol	9	2010 Jun
glioma AND expression AND ERBB4[Gene]	17987795	Coexpression of c-erbB 1-4 receptor proteins in human glioblastomas. An immunohistochemical study.	J Exp Clin Cancer Res	8	2007 Sep
glioma AND expression AND ERBB4[Gene]	19017278	Real-time quantitative polymerase chain reaction (qPCR) analysis with fluorescence resonance energy transfer (FRET) probes reveals differential expression of the four ERBB4 juxtamembrane region variants between medulloblastoma and pilocytic astrocytoma.	Neuropathol Appl Neurobiol	6	2009 Aug
glioma AND expression AND ERBB4[Gene]	17308352	Suppressors of hedgehog signaling: Linking aberrant development of neural progenitors and tumorigenesis.	Mol Neurobiol	6	2006 Dec
glioma AND expression AND ERBB4[Gene]	16097449	Epidermal growth factor receptor (EGFR) expression in childhood brain tumors.	In Vivo	6	2005 Sep-Oct
glioma AND expression AND ERBB4[Gene]	30205043	Aberrant ERBB4-SRC Signaling as a Hallmark of Group 4 Medulloblastoma Revealed by Integrative Phosphoproteomic Profiling.	Cancer Cell	5	2018 Sep 10
glioma AND expression AND ERBB4[Gene]	15148612	Epidermal growth factor receptor family (EGFR, ErbB2-4) in gliomas and meningiomas.	Acta Neuropathol	40	2004 Aug
glioma AND expression AND ERBB4[Gene]	17579610	Molecular dissection of NRG1-ERBB4 signaling implicates PTPRZ1 as a potential schizophrenia susceptibility gene.	Mol Psychiatry	30	2008 Feb
glioma AND expression AND ERBB4[Gene]	21361082	Prognostic significance of expression patterns of EGFR family, p21 and p27 in high-grade astrocytoma.	Hiroshima J Med Sci	3	2010 Dec
glioma AND expression AND ERBB4[Gene]	19793689	[Expression pattern of invasion-related molecules in brain tumors of different origin].	Magy Onkol	3	2009 Sep
glioma AND expression AND ERBB4[Gene]	17183845	Does c-erbB-2 expression have a role in medulloblastoma prognosis?	Indian J Pathol Microbiol	3	2006 Oct
glioma AND expression AND ERBB4[Gene]	16842254	Expression of c-erbB-4 in medulloblastoma and its correlation with prognosis.	Histopathology	3	2006 Jul
glioma AND expression AND ERBB4[Gene]	15492843	Molecular analysis of the erbB gene family calmodulin-binding and calmodulin-like domains in astrocytic gliomas.	Int J Oncol	3	2004 Nov
glioma AND expression AND ERBB4[Gene]	16878160	Alternative splicing of the ErbB-4 cytoplasmic domain and its regulation by hedgehog signaling identify distinct medulloblastoma subsets.	Oncogene	24	2006 Nov 23
glioma AND expression AND ERBB4[Gene]	15812817	Neuregulin-1 enhances survival of human astrocytic glioma cells.	Glia	15	2005 Aug 15
glioma AND expression AND ERBB4[Gene]	20331873	Overexpression of c-erbB2 is a negative prognostic factor in anaplastic astrocytomas.	Diagn Pathol	13	2010 Mar 23
glioma AND expression AND ERBB4[Gene]	21691733	Expression of stem cell marker and receptor kinase genes in glioblastoma tissue quantified by real-time RT-PCR.	Brain Tumor Pathol	12	2011 Oct
glioma AND expression AND ERBB4[Gene]	20535528	Molecular analysis of WWOX expression correlation with proliferation and apoptosis in glioblastoma multiforme.	J Neurooncol	12	2011 Jan
glioma AND expression AND ERBB4[Gene]	27258564	Identification of New Biomarkers Associated With IDH Mutation and Prognosis in Astrocytic Tumors Using NanoString nCounter Analysis System.	Appl Immunohistochem Mol Morphol		2018 Feb
glioma AND expression AND ERCC2[Gene]	17151930	Single nucleotide polymorphisms and expression of ERCC1 and ERCC2 vis-à-vis chemotherapy drug cytotoxicity in human glioma.	J Neurooncol	6	2007 May
glioma AND expression AND ERCC2[Gene]	26336131	Inhibition of DNA-repair genes Ercc1 and Mgmt enhances temozolomide efficacy in gliomas treatment: a pre-clinical study.	Oncotarget	5	2015 Oct 6
glioma AND expression AND ERCC2[Gene]	10738106	Absence of evidence for allelic loss or allelic gain for ERCC1 or for XPD in human ovarian cancer cells and tissues.	Cancer Lett	2	2000 Apr 14
glioma AND expression AND ERCC2[Gene]	8876669	Comparative analyses of relative ERCC3 and ERCC6 mRNA levels in gliomas and adjacent non-neoplastic brain.	Mol Carcinog	2	1996 Sep
glioma AND expression AND ERCC2[Gene]	12359753	Regulation of cisplatin resistance and homologous recombinational repair by the TFIIH subunit XPD.	Cancer Res	17	2002 Oct 1
glioma AND expression AND ERCC2[Gene]	17034947	Expression analyses of 27 DNA repair genes in astrocytoma by TaqMan low-density array.	Neurosci Lett	10	2006 Dec 1
glioma AND expression AND ERCC2[Gene]	9588557	Excision repair cross-complementing rodent repair deficiency gene 2 expression and chloroethylnitrosourea resistance in human glioma cell lines.	Neurosurgery	1	1998 May
glioma AND expression AND ERCC2[Gene]	21418965	[Comparison of MGMT and ERCC₂ expression in temozolomide for the treatment of malignant glioma drug resistance and their genetic relationship].	Zhonghua Yi Xue Za Zhi		2011 Jan 4
glioma AND expression AND ERCC2[Gene]	9025907	Quantitation of ERCC-2 gene expression in human tumor cell lines by reverse transcription-polymerase chain reaction in comparison to northern blot analysis.	Anal Biochem		1997 Jan 1
glioma AND expression AND ERCC3[Gene]	8876669	Comparative analyses of relative ERCC3 and ERCC6 mRNA levels in gliomas and adjacent non-neoplastic brain.	Mol Carcinog	2	1996 Sep
glioma AND expression AND ERCC3[Gene]	17034947	Expression analyses of 27 DNA repair genes in astrocytoma by TaqMan low-density array.	Neurosci Lett	10	2006 Dec 1
glioma AND expression AND ERCC4[Gene]	9923544	Multiple DNA repair mechanisms and alkylator resistance in the human medulloblastoma cell line D-283 Med (4-HCR).	Cancer Chemother Pharmacol	5	1999
glioma AND expression AND ERCC4[Gene]	17034947	Expression analyses of 27 DNA repair genes in astrocytoma by TaqMan low-density array.	Neurosci Lett	10	2006 Dec 1
glioma AND expression AND ERCC5[Gene]	23374632	Gene expression changes associated with erlotinib response in glioma cell lines.	Eur J Cancer	8	2013 May
glioma AND expression AND ERCC5[Gene]	26338418	A common polymorphism in the 5' UTR of ERCC5 creates an upstream ORF that confers resistance to platinum-based chemotherapy.	Genes Dev	14	2015 Sep 15
glioma AND expression AND ESR1[Gene]	23368093	Discovery and analysis of consistent active sub-networks in cancers.	BMC Bioinformatics	4	2013
glioma AND expression AND ESR1[Gene]	19399471	An expression module of WIPF1-coexpressed genes identifies patients with favorable prognosis in three tumor types.	J Mol Med (Berl)	25	2009 Jun
glioma AND expression AND ESR1[Gene]	27258564	Identification of New Biomarkers Associated With IDH Mutation and Prognosis in Astrocytic Tumors Using NanoString nCounter Analysis System.	Appl Immunohistochem Mol Morphol		2018 Feb
glioma AND expression AND ETV6[Gene]	30171197	Molecular characterization of cancers with NTRK gene fusions.	Mod Pathol	8	2019 Jan
glioma AND expression AND ETV6[Gene]	11508811	Identification of uncommon chromosomal aberrations in the neuroglioma cell line H4 by spectral karyotyping.	J Neurooncol	6	2001 Apr
glioma AND expression AND ETV6[Gene]	17265049	Ependymoma gene expression profiles associated with histological subtype, proliferation, and patient survival.	Acta Neuropathol	35	2007 Mar
glioma AND expression AND ETV6[Gene]	27426982	Causal Mechanistic Regulatory Network for Glioblastoma Deciphered Using Systems Genetics Network Analysis.	Cell Syst	18	2016 Aug
glioma AND expression AND EXT1[Gene]	29157673	Circulating microRNAs as Biomarkers for Pediatric Astrocytomas.	Arch Med Res	3	2017 May
glioma AND expression AND EXT1[Gene]	29104277	Heparan Sulfate Biosynthetic System Is Inhibited in Human Glioma Due to EXT1/2 and HS6ST1/2 Down-Regulation.	Int J Mol Sci	1	2017 Nov 1
glioma AND expression AND EXT2[Gene]	1	Heparan Sulfate Biosynthetic System Is Inhibited in Human Glioma Due to EXT1/2 and HS6ST1/2 Down-Regulation.	Int J Mol Sci	1	2017 Nov 1
glioma AND expression AND EZH2[Gene]	30683859	The functional synergism of microRNA clustering provides therapeutically relevant epigenetic interference in glioblastoma.	Nat Commun	4	2019 Jan 25
glioma AND expression AND EZH2[Gene]	31240814	Long non-coding RNA LINC00526 represses glioma progression via forming a double negative feedback loop with AXL.	J Cell Mol Med	2	2019 Aug
glioma AND expression AND EZH2[Gene]	30854231	Sustained NF-κB-STAT3 signaling promotes resistance to Smac mimetics in Glioma stem-like cells but creates a vulnerability to EZH2 inhibition.	Cell Death Discov	2	2019
glioma AND expression AND EZH2[Gene]	30105866	Long noncoding RNA HOXB13-AS1 regulates HOXB13 gene methylation by interacting with EZH2 in glioma.	Cancer Med	2	2018 Sep
glioma AND expression AND EZH2[Gene]	31367244	A Compound AC1Q3QWB Selectively Disrupts HOTAIR-Mediated Recruitment of PRC2 and Enhances Cancer Therapy of DZNep.	Theranostics	1	2019
glioma AND expression AND EZH2[Gene]	30376874	Over-expressed lncRNA HOTAIRM1 promotes tumor growth and invasion through up-regulating HOXA1 and sequestering G9a/EZH2/Dnmts away from the HOXA1 gene in glioblastoma multiforme.	J Exp Clin Cancer Res	1	2018 Oct 30
glioma AND expression AND EZH2[Gene]	30131250	microRNA-124a suppresses PHF19 over-expression, EZH2 hyper-activation, and aberrant cell proliferation in human glioma.	Biochem Biophys Res Commun	1	2018 Sep 10
glioma AND expression AND EZH2[Gene]	31468686	Redistribution of EZH2 promotes malignant phenotypes by rewiring developmental programmes.	EMBO Rep		2019 Aug 29
glioma AND expression AND EZH2[Gene]	31434700	MELK mediates the stability of EZH2 through site-specific phosphorylation in extranodal natural killer/T-cell lymphoma.	Blood		2019 Aug 21
glioma AND expression AND EZH2[Gene]	31399646	Spermidine/spermine N1-acetyltransferase 1 is a gene-specific transcriptional regulator that drives brain tumor aggressiveness.	Oncogene		2019 Aug 9
glioma AND expression AND EZH2[Gene]	31214915	Evaluation of EZH2 expression, BRAF V600E mutation, and CDKN2A/B deletions in epithelioid glioblastoma and anaplastic pleomorphic xanthoastrocytoma.	J Neurooncol		2019 Aug
glioma AND expression AND EZH2[Gene]	31171769	Silencing of microRNA-708 promotes cell growth and epithelial-to-mesenchymal transition by activating the SPHK2/AKT/β-catenin pathway in glioma.	Cell Death Dis		2019 Jun 6
glioma AND expression AND EZH2[Gene]	31138033	MiR-32 Inhibits Proliferation and Metastasis by Targeting EZH2 in Glioma.	Technol Cancer Res Treat		2019 Jan-Dec
glioma AND expression AND EZH2[Gene]	31096221	Immunostaining of Increased Expression of Enhancer of Zeste Homolog 2 (EZH2) in Diffuse Midline Glioma H3K27M-Mutant Patients with Poor Survival.	Pathobiology		2019
glioma AND expression AND EZH2[Gene]	31086175	PFA ependymoma-associated protein EZHIP inhibits PRC2 activity through a H3 K27M-like mechanism.	Nat Commun		2019 May 13
glioma AND expression AND EZH2[Gene]	31043779	Targeting EZH2 for glioma therapy with a novel nanoparticle-siRNA complex.	Int J Nanomedicine		2019
glioma AND expression AND EZH2[Gene]	31008529	Polycomb complex mediated epigenetic reprogramming alters TGF-β signaling via a novel EZH2/miR-490/TGIF2 axis thereby inducing migration and EMT potential in glioblastomas.	Int J Cancer		2019 Sep 1
glioma AND expression AND EZH2[Gene]	30632221	Inhibition of enhancer of zest homologue 2 is a potential therapeutic target for high-MYC medulloblastoma.	Neuropathology		2019 Apr
glioma AND expression AND EZH2[Gene]	30425057	Aberrant Activation of β-Catenin Signaling Drives Glioma Tumorigenesis via USP1-Mediated Stabilization of EZH2.	Cancer Res		2019 Jan 1
glioma AND expression AND EZH2[Gene]	30305602	Effects of Enhancer of Zeste Homolog 2 (EZH2) Expression on Brain Glioma Cell Proliferation and Tumorigenesis.	Med Sci Monit		2018 Oct 11
glioma AND expression AND FANCA[Gene]	1	Radiosensitization of Glioblastoma Cells by a Novel DNA Methyltransferase-inhibiting Phthalimido-Alkanamide Derivative.	Anticancer Res		2019 Feb
glioma AND expression AND FANCD2[Gene]	25351918	Evaluation of novel imidazotetrazine analogues designed to overcome temozolomide resistance and glioblastoma regrowth.	Mol Cancer Ther	8	2015 Jan
glioma AND expression AND FANCD2[Gene]	25337721	Downregulation of BRCA1-BRCA2-containing complex subunit 3 sensitizes glioma cells to temozolomide.	Oncotarget	7	2014 Nov 15
glioma AND expression AND FANCD2[Gene]	29973652	Subependymal giant cell astrocytoma-like astrocytoma: a neoplasm with a distinct phenotype and frequent neurofibromatosis type-1-association.	Mod Pathol	5	2018 Dec
glioma AND expression AND FANCD2[Gene]	25071006	FANCD2 re-expression is associated with glioma grade and chemical inhibition of the Fanconi Anaemia pathway sensitises gliomas to chemotherapeutic agents.	Oncotarget	5	2014 Aug 15
glioma AND expression AND FANCF[Gene]	1	Subependymal giant cell astrocytoma-like astrocytoma: a neoplasm with a distinct phenotype and frequent neurofibromatosis type-1-association.	Mod Pathol	5	2018 Dec
glioma AND expression AND FANCG[Gene]	19273547	Transcriptional changes in U343 MG-a glioblastoma cell line exposed to ionizing radiation.	Hum Exp Toxicol	9	2008 Dec
glioma AND expression AND FANCG[Gene]	15899798	High-resolution genome-wide mapping of genetic alterations in human glial brain tumors.	Cancer Res	52	2005 May 15
glioma AND expression AND FANCG[Gene]	29973652	Subependymal giant cell astrocytoma-like astrocytoma: a neoplasm with a distinct phenotype and frequent neurofibromatosis type-1-association.	Mod Pathol	5	2018 Dec
glioma AND expression AND FAS[Gene]	28359080	Lithium enhances the antitumour effect of temozolomide against TP53 wild-type glioblastoma cells via NFAT1/FasL signalling.	Br J Cancer	8	2017 May 9
glioma AND expression AND FAS[Gene]	29475910	Amentoflavone Induces Apoptosis and Inhibits NF-ĸB-modulated Anti-apoptotic Signaling in Glioblastoma Cells.	In Vivo	3	2018 Mar-Apr
glioma AND expression AND FAS[Gene]	27601165	Inhibition of fatty acid synthase suppresses neovascularization via regulating the expression of VEGF-A in glioma.	J Cancer Res Clin Oncol	3	2016 Dec
glioma AND expression AND FAS[Gene]	27175997	Saponin 6 derived from Anemone taipaiensis induces U87 human malignant glioblastoma cell apoptosis via regulation of Fas and Bcl‑2 family proteins.	Mol Med Rep	3	2016 Jul
glioma AND expression AND FAS[Gene]	29324390	NFAT-1 hyper-activation by methionine enkephalin (MENK) significantly induces cell apoptosis of rats C6 glioma in vivo and in vitro.	Int Immunopharmacol	2	2018 Mar
glioma AND expression AND FAS[Gene]	27579489	Decitabine Treatment of Glioma-Initiating Cells Enhances Immune Recognition and Killing.	PLoS One	2	2016
glioma AND expression AND FAS[Gene]	30796178	The SIAH1-HIPK2-p53ser46 Damage Response Pathway is Involved in Temozolomide-Induced Glioblastoma Cell Death.	Mol Cancer Res	1	2019 May
