query_text	PMid	pmcrefcount	title	source	pubdate
glioma (astrocytoma) AND expression AND GNS[Gene]	18088600	29	S1P(2) receptors mediate inhibition of glioma cell migration through Rho signaling pathways independent of PTEN.	Biochem Biophys Res Commun	2008 Feb 22
glioma (astrocytoma) AND expression AND GSTM5[Gene]	1	65	DNA methylation in glioblastoma: impact on gene expression and clinical outcome.	BMC Genomics	2010 Dec 14
glioma (astrocytoma) AND expression AND IL13RA2[Gene]	17960622	55	Maternal embryonic leucine zipper kinase transcript abundance correlates with malignancy grade in human astrocytomas.	Int J Cancer	2008 Feb 15
glioma (astrocytoma) AND expression AND IL13RA2[Gene]	29168083	4	Analysis of the cancer genome atlas (TCGA) database identifies an inverse relationship between interleukin-13 receptor α1 and α2 gene expression and poor prognosis and drug resistance in subjects with glioblastoma multiforme.	J Neurooncol	2018 Feb
glioma (astrocytoma) AND expression AND IL13RA2[Gene]	28562337	4	IL13RA2 targeted alpha particle therapy against glioblastomas.	Oncotarget	2017 Jun 27
glioma (astrocytoma) AND expression AND LYVE1[Gene]	1	19	Expression and localization of VEGF-C and VEGFR-3 in glioblastomas and haemangioblastomas.	J Pathol	2006 May
glioma (astrocytoma) AND expression AND MT3[Gene]	26493598	8	High metallothionein predicts poor survival in glioblastoma multiforme.	BMC Med Genomics	2015 Oct 22
glioma (astrocytoma) AND expression AND MT3[Gene]	22555517	6	Arsenic trioxide (ATO) influences the gene expression of metallothioneins in human glioblastoma cells.	Biol Trace Elem Res	2012 Dec
glioma (astrocytoma) AND expression AND MT3[Gene]	18400046	53	Anti-O6-methylguanine-methyltransferase (MGMT) immunohistochemistry in glioblastoma multiforme: observer variability and lack of association with patient survival impede its use as clinical biomarker.	Brain Pathol	2008 Oct
glioma (astrocytoma) AND expression AND MT3[Gene]	18091318	35	MGMT immunohistochemical expression and promoter methylation in human glioblastoma.	Appl Immunohistochem Mol Morphol	2008 Jan
glioma (astrocytoma) AND expression AND MT3[Gene]	10027400	31	Expression and tissue localization of membrane-type 1, 2, and 3 matrix metalloproteinases in human astrocytic tumors.	Am J Pathol	1999 Feb
glioma (astrocytoma) AND expression AND MT3[Gene]	12810672	15	Testican 2 abrogates inhibition of membrane-type matrix metalloproteinases by other testican family proteins.	Cancer Res	2003 Jun 15
glioma (astrocytoma) AND expression AND ORAI1[Gene]	23515871	55	STIM1 and Orai1 mediate CRAC channel activity and are essential for human glioblastoma invasion.	Pflugers Arch	2013 Sep
glioma (astrocytoma) AND expression AND ORAI1[Gene]	18627030	4	Histamine-induced Ca2+ entry in human astrocytoma U373 MG cells: evidence for involvement of store-operated channels.	J Neurosci Res	2008 Nov 15
glioma (astrocytoma) AND expression AND ORAI1[Gene]	30082911	3	Induction of store-operated calcium entry (SOCE) suppresses glioblastoma growth by inhibiting the Hippo pathway transcriptional coactivators YAP/TAZ.	Oncogene	2019 Jan
glioma (astrocytoma) AND expression AND ORAI1[Gene]	25580009	3	Modeled microgravity suppressed invasion and migration of human glioblastoma U87 cells through downregulating store-operated calcium entry.	Biochem Biophys Res Commun	2015 Feb 13
glioma (astrocytoma) AND expression AND ORAI1[Gene]	21945734	26	Calcium entry via ORAI1 regulates glioblastoma cell proliferation and apoptosis.	Exp Mol Pathol	2011 Dec
glioma (astrocytoma) AND expression AND OTX2[Gene]	1	45	CpG island hypermethylation in human astrocytomas.	Cancer Res	2010 Apr 1
glioma (astrocytoma) AND expression AND PAX6[Gene]	17318412	7	PAX6 increases glioma cell susceptibility to detachment and oxidative stress.	J Neurooncol	2007 Aug
glioma (astrocytoma) AND expression AND PAX6[Gene]	19215724	64	An efficient method for derivation and propagation of glioblastoma cell lines that conserves the molecular profile of their original tumours.	J Neurosci Methods	2009 Jan 30
glioma (astrocytoma) AND expression AND PAX6[Gene]	12960124	56	The expression of PAX6, PTEN, vascular endothelial growth factor, and epidermal growth factor receptor in gliomas: relationship to tumor grade and survival.	Clin Cancer Res	2003 Aug 15
glioma (astrocytoma) AND expression AND PAX6[Gene]	20233874	45	CpG island hypermethylation in human astrocytomas.	Cancer Res	2010 Apr 1
glioma (astrocytoma) AND expression AND PAX6[Gene]	27863244	44	Epigenetic Activation of WNT5A Drives Glioblastoma Stem Cell Differentiation and Invasive Growth.	Cell	2016 Nov 17
glioma (astrocytoma) AND expression AND PAX6[Gene]	23034333	43	MicroRNA-10b pleiotropically regulates invasion, angiogenicity and apoptosis of tumor cells resembling mesenchymal subtype of glioblastoma multiforme.	Cell Death Dis	2012 Oct 4
glioma (astrocytoma) AND expression AND PAX6[Gene]	17047041	38	PAX6 suppresses the invasiveness of glioblastoma cells and the expression of the matrix metalloproteinase-2 gene.	Cancer Res	2006 Oct 15
glioma (astrocytoma) AND expression AND PAX6[Gene]	15735909	31	PAX6 suppresses growth of human glioblastoma cells.	J Neurooncol	2005 Feb
glioma (astrocytoma) AND expression AND PAX6[Gene]	29716531	3	Generation of a PAX6 knockout glioblastoma cell line with changes in cell cycle distribution and sensitivity to oxidative stress.	BMC Cancer	2018 May 2
glioma (astrocytoma) AND expression AND PAX6[Gene]	28035389	3	Role of miR-223/paired box 6 signaling in temozolomide chemoresistance in glioblastoma multiforme cells.	Mol Med Rep	2017 Feb
glioma (astrocytoma) AND expression AND PAX6[Gene]	21059263	21	Regulation of sonic hedgehog-GLI1 downstream target genes PTCH1, Cyclin D2, Plakoglobin, PAX6 and NKX2.2 and their epigenetic status in medulloblastoma and astrocytoma.	BMC Cancer	2010 Nov 8
glioma (astrocytoma) AND expression AND PAX6[Gene]	16212813	19	Modeling prognosis for patients with malignant astrocytic gliomas: quantifying the expression of multiple genetic markers and clinical variables.	Neuro Oncol	2005 Oct
glioma (astrocytoma) AND expression AND PAX6[Gene]	23970099	16	microRNA-223 promotes the growth and invasion of glioblastoma cells by targeting tumor suppressor PAX6.	Oncol Rep	2013 Nov
glioma (astrocytoma) AND expression AND PFKFB2[Gene]	1	10	Long non-coding RNA UCA1/miR-182/PFKFB2 axis modulates glioblastoma-associated stromal cells-mediated glycolysis and invasion of glioma cells.	Biochem Biophys Res Commun	2018 Jun 7
glioma (astrocytoma) AND expression AND PIK3R3[Gene]	1	48	Identification of IGF2 signaling through phosphoinositide-3-kinase regulatory subunit 3 as a growth-promoting axis in glioblastoma.	Proc Natl Acad Sci U S A	2007 Feb 27
glioma (astrocytoma) AND expression AND SDCBP[Gene]	24305713	19	MDA-9/syntenin is a key regulator of glioma pathogenesis.	Neuro Oncol	2014 Jan
glioma (astrocytoma) AND expression AND SDCBP[Gene]	28011764	12	Inhibition of radiation-induced glioblastoma invasion by genetic and pharmacological targeting of MDA-9/Syntenin.	Proc Natl Acad Sci U S A	2017 Jan 10
glioma (astrocytoma) AND expression AND SDCBP[Gene]	29944105		miR-135a-5p and miR-124-3p Inhibit Malignancy of Glioblastoma by Downregulation of Syndecan Binding Protein.	J Biomed Nanotechnol	2018 Jul 1
glioma (astrocytoma) AND expression AND SDHB[Gene]	23842546	49	Landscape of the mitochondrial Hsp90 metabolome in tumours.	Nat Commun	2013
glioma (astrocytoma) AND expression AND SDHB[Gene]	23707781	159	SDH mutations establish a hypermethylator phenotype in paraganglioma.	Cancer Cell	2013 Jun 10
glioma (astrocytoma) AND expression AND SOAT1[Gene]	1	26	Inhibition of SOAT1 Suppresses Glioblastoma Growth via Blocking SREBP-1-Mediated Lipogenesis.	Clin Cancer Res	2016 Nov 1
glioma (astrocytoma) AND expression AND SQSTM1[Gene]	22525272	69	The autophagy-associated factors DRAM1 and p62 regulate cell migration and invasion in glioblastoma stem cells.	Oncogene	2013 Feb 7
glioma (astrocytoma) AND expression AND SQSTM1[Gene]	26046590	6	Parkinsonian toxin-induced oxidative stress inhibits basal autophagy in astrocytes via NQO2/quinone oxidoreductase 2: Implications for neuroprotection.	Autophagy	2015
glioma (astrocytoma) AND expression AND SQSTM1[Gene]	27337297	20	Cocaine induces astrocytosis through ER stress-mediated activation of autophagy.	Autophagy	2016 Aug 2
glioma (astrocytoma) AND expression AND SQSTM1[Gene]	25482944	16	Autophagy and lysosomal related protein expression patterns in human glioblastoma.	Cancer Biol Ther	2014
glioma (astrocytoma) AND expression AND SQSTM1[Gene]	24434817	11	Glutathione transferase mu 2 protects glioblastoma cells against aminochrome toxicity by preventing autophagy and lysosome dysfunction.	Autophagy	2014 Apr
glioma (astrocytoma) AND expression AND SQSTM1[Gene]	29306018	1	Aldehyde dehydrogenase 1A3 (ALDH1A3) is regulated by autophagy in human glioblastoma cells.	Cancer Lett	2018 Mar 28
glioma (astrocytoma) AND expression AND TRPM3[Gene]	25140002	20	Clemizole hydrochloride is a novel and potent inhibitor of transient receptor potential channel TRPC5.	Mol Pharmacol	2014 Nov
glioma (astrocytoma) AND expression AND TRPM3[Gene]	26088448	16	Gene expressions of TRP channels in glioblastoma multiforme and relation with survival.	Tumour Biol	2015 Dec
glioma (astrocytoma) AND expression AND TTR[Gene]	10869517	5	Receptor-mediated endocytosis of transthyretin by ependymoma cells.	Brain Res	2000 Jul 7
glioma (astrocytoma) AND expression AND TTR[Gene]	26188054	2	Mitosin and pHH3 predict poorer survival in astrocytomas WHO grades II and III.	J Clin Pathol	2016 Jan
glioma (astrocytoma) AND expression AND TYR[Gene]	26410343	8	Olive oil compounds inhibit the paracrine regulation of TNF-α-induced endothelial cell migration through reduced glioblastoma cell cyclooxygenase-2 expression.	J Nutr Biochem	2016 Jan
glioma (astrocytoma) AND expression AND TYR[Gene]	17727628	8	Formyl peptide-receptor like-1 requires lipid raft and extracellular signal-regulated protein kinase to activate inhibitor-kappa B kinase in human U87 astrocytoma cells.	J Neurochem	2007 Nov
glioma (astrocytoma) AND expression AND TYR[Gene]	24762811	6	A crucial role for DOK1 in PDGF-BB-stimulated glioma cell invasion through p130Cas and Rap1 signalling.	J Cell Sci	2014 Jun 15
glioma (astrocytoma) AND expression AND TYR[Gene]	17643960	6	Formyl peptide receptor like 1 differentially requires mitogen-activated protein kinases for the induction of glial fibrillary acidic protein and interleukin-1alpha in human U87 astrocytoma cells.	Cell Signal	2007 Oct
glioma (astrocytoma) AND expression AND TYR[Gene]	21933022	5	Transcriptional repression of Mad-Max complex by human umbilical cord blood stem cells downregulates extracellular signal-regulated kinase in glioblastoma.	Stem Cells Dev	2012 Jul 1
glioma (astrocytoma) AND expression AND TYR[Gene]	20162575	5	The effect of GHRH antagonists on human glioblastomas and their mechanism of action.	Int J Cancer	2010 Nov 15
glioma (astrocytoma) AND expression AND TYR[Gene]	16447258	5	Human glioblastoma ADF cells express tyrosinase, L-tyrosine hydroxylase and melanosomes and are sensitive to L-tyrosine and phenylthiourea.	J Cell Physiol	2006 Jun
glioma (astrocytoma) AND expression AND TYR[Gene]	18234969	41	Transcription-dependent epidermal growth factor receptor activation by hepatocyte growth factor.	Mol Cancer Res	2008 Jan
glioma (astrocytoma) AND expression AND TYR[Gene]	21127066	32	Transactivation of the epidermal growth factor receptor by heat shock protein 90 via Toll-like receptor 4 contributes to the migration of glioblastoma cells.	J Biol Chem	2011 Feb 4
glioma (astrocytoma) AND expression AND TYR[Gene]	16954557	3	Locoregional delivery of adenoviral vectors.	J Nucl Med	2006 Sep
glioma (astrocytoma) AND expression AND TYR[Gene]	21896743	28	Crosstalk between the urokinase-type plasminogen activator receptor and EGF receptor variant III supports survival and growth of glioblastoma cells.	Proc Natl Acad Sci U S A	2011 Sep 20
glioma (astrocytoma) AND expression AND TYR[Gene]	20470863	26	Sorafenib exerts anti-glioma activity in vitro and in vivo.	Neurosci Lett	2010 Jul 12
glioma (astrocytoma) AND expression AND TYR[Gene]	9176405	26	Molecular detection of tumor-associated antigens shared by human cutaneous melanomas and gliomas.	Am J Pathol	1997 Jun
glioma (astrocytoma) AND expression AND TYR[Gene]	24747440	24	Profilin-1 phosphorylation directs angiocrine expression and glioblastoma progression through HIF-1α accumulation.	Nat Cell Biol	2014 May
glioma (astrocytoma) AND expression AND TYR[Gene]	25347738	13	Neutralizing the EGF receptor in glioblastoma cells stimulates cell migration by activating uPAR-initiated cell signaling.	Oncogene	2015 Jul 30
glioma (astrocytoma) AND expression AND TYR[Gene]	23007395	10	Tyrosine phosphorylation of the p21 cyclin-dependent kinase inhibitor facilitates the development of proneural glioma.	J Biol Chem	2012 Nov 9
glioma (astrocytoma) AND expression AND TYR[Gene]	24821382	1	Activation of STAT5 contributes to proliferation in U87 human glioblastoma multiforme cells.	Mol Med Rep	2014 Jul
glioma (astrocytoma) AND expression AND TYR[Gene]	19559020	1	A reduction of epidermal growth factor receptor is involved in brefelamide-induced inhibition of phosphorylation of ERK in human astrocytoma cells.	Eur J Pharmacol	2009 Aug 15
glioma (astrocytoma) AND expression AND TYR[Gene]	9630166	1	Kinase inhibitors abrogate IFN-gamma-induced class II transactivator and class II MHC gene expression in astroglioma cell lines.	J Neuroimmunol	1998 May 15
glioma (astrocytoma) AND expression AND TYR[Gene]	11244959		[A study of gene expression of PDGFBB and PDGFR as well as level of PDGFR activity in human glioma cells].	Zhonghua Bing Li Xue Za Zhi	1998 Apr
glioma (astrocytoma) AND expression AND TYRP1[Gene]	9176405	26	Molecular detection of tumor-associated antigens shared by human cutaneous melanomas and gliomas.	Am J Pathol	1997 Jun
glioma (astrocytoma) AND expression AND TYRP1[Gene]	17409412	15	Effect of human skin-derived stem cells on vessel architecture, tumor growth, and tumor invasion in brain tumor animal models.	Cancer Res	2007 Apr 1
glioma (astrocytoma) AND expression AND UROS[Gene]	1	4	Impact of somatic copy number alterations on the glioblastoma miRNome: miR-4484 is a genomically deleted tumour suppressor.	Mol Oncol	2017 Aug
glioma (astrocytoma) AND expression AND VSIG4[Gene]	1	1	Let-7g-5p inhibits epithelial-mesenchymal transition consistent with reduction of glioma stem cell phenotypes by targeting VSIG4 in glioblastoma.	Oncol Rep	2016 Nov
medulloblastoma AND expression AND ABCC8[Gene]	1		Sulfonylurea receptor 1 expression is variable in adult and pediatric brain tumors.	Clin Neuropathol	2018 Sep/Oct
medulloblastoma AND expression AND ASXL1[Gene]	1	107	The landscape of somatic mutations in epigenetic regulators across 1,000 paediatric cancer genomes.	Nat Commun	2014 Apr 8
medulloblastoma AND expression AND ATP1A3[Gene]	1	7	Immunohistochemical analyses of alpha1 and alpha3 Na+/K+-ATPase subunit expression in medulloblastomas.	Anticancer Res	2011 Mar
medulloblastoma AND expression AND CADPS[Gene]	1	19	Genome-wide molecular characterization of central nervous system primitive neuroectodermal tumor and pineoblastoma.	Neuro Oncol	2011 Aug
medulloblastoma AND expression AND CRMP1[Gene]	28025999	3	miR-200a-3p promotes the proliferation of human esophageal cancer cells by post-transcriptionally regulating cytoplasmic collapsin response mediator protein-1.	Int J Mol Med	2016 Nov
medulloblastoma AND expression AND CRMP1[Gene]	26009886	3	CRMP1 Inhibits Proliferation of Medulloblastoma and Is Regulated by HMGA1.	PLoS One	2015
medulloblastoma AND expression AND CRX[Gene]	19936203	9	CRX is a diagnostic marker of retinal and pineal lineage tumors.	PLoS One	2009 Nov 20
medulloblastoma AND expression AND CRX[Gene]	29533784	6	NRL and CRX Define Photoreceptor Identity and Reveal Subgroup-Specific Dependencies in Medulloblastoma.	Cancer Cell	2018 Mar 12
medulloblastoma AND expression AND CRX[Gene]	26397460	3	OTX2 is a therapeutic target for retinoblastoma and may function as a common factor between C-MYC, CRX, and phosphorylated RB pathways.	Int J Oncol	2015 Nov
medulloblastoma AND expression AND CRX[Gene]	23235340	2	CRX/OTX3: a useful marker in the differential diagnosis of tumors of the pineal region and indicator of photoreceptor differentiation in medulloblastomas and atypical teratoid rhabdoid tumors.	Appl Immunohistochem Mol Morphol	2013 May
medulloblastoma AND expression AND CRX[Gene]	29758594	1	PHOX2B is a reliable immunomarker in distinguishing peripheral neuroblastic tumours from CNS embryonal tumours.	Histopathology	2018 Sep
medulloblastoma AND expression AND DNMT3A[Gene]	29861161	8	MLL4 Is Required to Maintain Broad H3K4me3 Peaks and Super-Enhancers at Tumor Suppressor Genes.	Mol Cell	2018 Jun 7
medulloblastoma AND expression AND DNMT3A[Gene]	27543768	1	High expression of DNA methyltransferases in primary human medulloblastoma.	Folia Neuropathol	2016
medulloblastoma AND expression AND EPHA8[Gene]	1	7	EphrinB1 expression is dysregulated and promotes oncogenic signaling in medulloblastoma.	J Neurooncol	2015 Jan
medulloblastoma AND expression AND GABRA5[Gene]	24196163	10	α5-GABAA receptors negatively regulate MYC-amplified medulloblastoma growth.	Acta Neuropathol	2014 Apr
medulloblastoma AND expression AND GABRA5[Gene]	30725256		Modulating native GABA&lt;sub&gt;A&lt;/sub&gt; receptors in medulloblastoma with positive allosteric benzodiazepine-derivatives induces cell death.	J Neurooncol	2019 May
medulloblastoma AND expression AND GFAP[Gene]	17483310	9	Transgenic E2F1 expression in the mouse brain induces a human-like bimodal pattern of tumors.	Cancer Res	2007 May 1
medulloblastoma AND expression AND GFAP[Gene]	23852537	7	Notch1-induced brain tumor models the sonic hedgehog subgroup of human medulloblastoma.	Cancer Res	2013 Sep 1
medulloblastoma AND expression AND GFAP[Gene]	22574128	6	GFAP-Cre-mediated transgenic activation of Bmi1 results in pituitary tumors.	PLoS One	2012
medulloblastoma AND expression AND GFAP[Gene]	18619852	6	Nuclear receptor binding protein 2 is induced during neural progenitor differentiation and affects cell survival.	Mol Cell Neurosci	2008 Sep
medulloblastoma AND expression AND GFAP[Gene]	27769070	4	Characterization of pancreatic glucagon-producing tumors and pituitary gland tumors in transgenic mice overexpressing MYCN in hGFAP-positive cells.	Oncotarget	2016 Nov 15
medulloblastoma AND expression AND GFAP[Gene]	25000562	4	Gender effect in experimental models of human medulloblastoma: does the estrogen receptor β signaling play a role?	PLoS One	2014
medulloblastoma AND expression AND GFAP[Gene]	16691420	4	Medulloblastoma: histopathologic and molecular markers of anaplasia and biologic behavior.	Acta Neuropathol	2006 Jul
medulloblastoma AND expression AND GFAP[Gene]	11008200	31	C-MYC expression in medulloblastoma and its prognostic value.	Int J Cancer	2000 Sep 20
medulloblastoma AND expression AND GFAP[Gene]	19351370	3	Medulloblastoma with myogenic differentiation showing double immunopositivity for synaptophysin and myoglobin.	Pathol Int	2009 Apr
medulloblastoma AND expression AND GFAP[Gene]	16309171	3	Morphological, immunocytochemical and flow cytometric in vitro characterisation of a surface-adherent medulloblastoma.	Anticancer Res	2005 Nov-Dec
medulloblastoma AND expression AND GFAP[Gene]	23054560	29	HD-MB03 is a novel Group 3 medulloblastoma model demonstrating sensitivity to histone deacetylase inhibitor treatment.	J Neurooncol	2012 Dec
medulloblastoma AND expression AND GFAP[Gene]	19048113	29	Bmi1 is required for Hedgehog pathway-driven medulloblastoma expansion.	Neoplasia	2008 Dec
medulloblastoma AND expression AND GFAP[Gene]	20465457	2	Recurrence in medulloblastoma - influence of clinical, histological and immunohistochemical factors.	Br J Neurosurg	2010 Jun
medulloblastoma AND expression AND GFAP[Gene]	12588433	2	Immunohistochemical analysis for histopathological subtypes in pediatric medulloblastomas.	Pathol Int	2003 Feb
medulloblastoma AND expression AND GFAP[Gene]	18372915	19	c-Myc and beta-catenin cooperate with loss of p53 to generate multiple members of the primitive neuroectodermal tumor family in mice.	Oncogene	2008 Jul 24
medulloblastoma AND expression AND GFAP[Gene]	22120608	17	Novel cell lines established from pediatric brain tumors.	J Neurooncol	2012 Apr
medulloblastoma AND expression AND GFAP[Gene]	15981098	12	CIC, a gene involved in cerebellar development and ErbB signaling, is significantly expressed in medulloblastomas.	J Neurooncol	2005 Jun
medulloblastoma AND expression AND GFAP[Gene]	29758594	1	PHOX2B is a reliable immunomarker in distinguishing peripheral neuroblastic tumours from CNS embryonal tumours.	Histopathology	2018 Sep
medulloblastoma AND expression AND GFAP[Gene]	30074494		Central Nervous System-type Neuroepithelial Tumors and Tumor-like Proliferations Developing in the Gynecologic Tract and Pelvis: Clinicopathologic Analysis of 23 Cases.	Am J Surg Pathol	2018 Nov
medulloblastoma AND expression AND GFAP[Gene]	11244998		[A clinicopathological analysis of primitive neuroectodermal tumors of the CNS].	Zhonghua Bing Li Xue Za Zhi	1998 Aug
medulloblastoma AND expression AND HDAC10[Gene]	1	1	The HDAC6/8/10 inhibitor TH34 induces DNA damage-mediated cell death in human high-grade neuroblastoma cell lines.	Arch Toxicol	2018 Aug
medulloblastoma AND expression AND HK2[Gene]	28515149	8	Pyruvate Kinase Inhibits Proliferation during Postnatal Cerebellar Neurogenesis and Suppresses Medulloblastoma Formation.	Cancer Res	2017 Jun 15
medulloblastoma AND expression AND HK2[Gene]	24569090	6	Adaptations of energy metabolism during cerebellar neurogenesis are co-opted in medulloblastoma.	Cancer Lett	2015 Jan 28
medulloblastoma AND expression AND HK2[Gene]	22496891	6	JC virus T-antigen regulates glucose metabolic pathways in brain tumor cells.	PLoS One	2012
medulloblastoma AND expression AND HK2[Gene]	26835355	5	Energy metabolism in neurodevelopment and medulloblastoma.	Transl Pediatr	2015 Jan
medulloblastoma AND expression AND HK2[Gene]	24280485	38	Hexokinase-2-mediated aerobic glycolysis is integral to cerebellar neurogenesis and pathogenesis of medulloblastoma.	Cancer Metab	2013 Jan 23
medulloblastoma AND expression AND INSM1[Gene]	23533081	6	Adenoviral insulinoma-associated protein 1 promoter-driven suicide gene therapy with enhanced selectivity for treatment of neuroendocrine cancers.	Ochsner J	2013 Spring
medulloblastoma AND expression AND INSM1[Gene]	19604042	5	INSM1 promoter-driven adenoviral herpes simplex virus thymidine kinase cancer gene therapy for the treatment of primitive neuroectodermal tumors.	Hum Gene Ther	2009 Nov
medulloblastoma AND expression AND INSM1[Gene]	16569215	22	INSM1 functions as a transcriptional repressor of the neuroD/beta2 gene through the recruitment of cyclin D1 and histone deacetylases.	Biochem J	2006 Jul 1
medulloblastoma AND expression AND INSM1[Gene]	18231642	20	An integrated approach identifies Nhlh1 and Insm1 as Sonic Hedgehog-regulated genes in developing cerebellum and medulloblastoma.	Neoplasia	2008 Jan
medulloblastoma AND expression AND INSM1[Gene]	26530405	2	Detection of neuroendocrine tumors using promoter-specific secreted Gaussia luciferase.	Int J Oncol	2016 Jan
medulloblastoma AND expression AND INSM1[Gene]	29490065		INSM1 Expression Is Frequent in Primary Central Nervous System Neoplasms but Not in the Adult Brain Parenchyma.	J Neuropathol Exp Neurol	2018 May 1
medulloblastoma AND expression AND L1CAM[Gene]	22814953	3	Differential proliferative index of cancer stem-like cells in primary and recurrent medulloblastoma in human.	Childs Nerv Syst	2012 Nov
medulloblastoma AND expression AND L1CAM[Gene]	2400996	22	Differential spectrum of expression of neural cell adhesion molecule isoforms and L1 adhesion molecules on human neuroectodermal tumors.	Cancer Res	1990 Oct 1
medulloblastoma AND expression AND MAGEA3[Gene]	1	18	Cancer-testis (CT) antigen expression in medulloblastoma.	Cancer Immun	2008 Apr 22
medulloblastoma AND expression AND MCC[Gene]	1	7	Durable regression of Medulloblastoma after regional and intravenous delivery of anti-HER2 chimeric antigen receptor T cells.	J Immunother Cancer	2018 Apr 30
medulloblastoma AND expression AND MTA1[Gene]	1		Metastasis-associated gene 1 expression in human medulloblastoma and its association with invasion and metastasis in medulloblastoma Daoy cell lines.	Genet Mol Res	2016 Jun 17
medulloblastoma AND expression AND MYT1L[Gene]	1	17	Identification of a neuronal transcription factor network involved in medulloblastoma development.	Acta Neuropathol Commun	2013 Jul 11
medulloblastoma AND expression AND NEUROD1[Gene]	20515335	5	Upregulation of SOX2, NOTCH1, and ID1 in supratentorial primitive neuroectodermal tumors: a distinct differentiation pattern from that of medulloblastomas.	J Neurosurg Pediatr	2010 Jun
medulloblastoma AND expression AND NEUROD1[Gene]	28213356	4	OTX2 Activity at Distal Regulatory Elements Shapes the Chromatin Landscape of Group 3 Medulloblastoma.	Cancer Discov	2017 Mar
medulloblastoma AND expression AND NEUROD1[Gene]	19609565	26	Defects in the cerebella of conditional Neurod1 null mice correlate with effective Tg(Atoh1-cre) recombination and granule cell requirements for Neurod1 for differentiation.	Cell Tissue Res	2009 Sep
medulloblastoma AND expression AND NEUROD1[Gene]	16569215	22	INSM1 functions as a transcriptional repressor of the neuroD/beta2 gene through the recruitment of cyclin D1 and histone deacetylases.	Biochem J	2006 Jul 1
medulloblastoma AND expression AND NEUROD1[Gene]	28915627	2	Panobinostat, a histone deacetylase inhibitor, suppresses leptomeningeal seeding in a medulloblastoma animal model.	Oncotarget	2017 Aug 22
medulloblastoma AND expression AND NEUROD1[Gene]	9270024	17	Expression of neurogenic basic helix-loop-helix genes in primitive neuroectodermal tumors.	Cancer Res	1997 Aug 15
medulloblastoma AND expression AND NEUROD2[Gene]	27086929	6	WIP1 modulates responsiveness to Sonic Hedgehog signaling in neuronal precursor cells and medulloblastoma.	Oncogene	2016 Oct 20
medulloblastoma AND expression AND NEUROD2[Gene]	25921740	4	Characterization of cancer stem cells and primary cilia in medulloblastoma.	CNS Neurol Disord Drug Targets	2015
medulloblastoma AND expression AND NEUROD2[Gene]	22407012	22	Hedgehog-mediated regulation of PPARγ controls metabolic patterns in neural precursors and shh-driven medulloblastoma.	Acta Neuropathol	2012 Apr
medulloblastoma AND expression AND NEUROD2[Gene]	9270024	17	Expression of neurogenic basic helix-loop-helix genes in primitive neuroectodermal tumors.	Cancer Res	1997 Aug 15
medulloblastoma AND expression AND NEUROD2[Gene]	30670636		Transcriptional repressor REST drives lineage stage-specific chromatin compaction at &lt;i&gt;Ptch1&lt;/i&gt; and increases AKT activation in a mouse model of medulloblastoma.	Sci Signal	2019 Jan 22
medulloblastoma AND expression AND NFIB[Gene]	1	17	Identification of a neuronal transcription factor network involved in medulloblastoma development.	Acta Neuropathol Commun	2013 Jul 11
medulloblastoma AND expression AND NNAT[Gene]	18701710	8	Coexpression of neuronatin splice forms promotes medulloblastoma growth.	Neuro Oncol	2008 Oct
medulloblastoma AND expression AND NNAT[Gene]	15064731	54	Identification of differentially expressed and developmentally regulated genes in medulloblastoma using suppression subtraction hybridization.	Oncogene	2004 Apr 22
medulloblastoma AND expression AND NPR3[Gene]	23730405	4	Genetic grouping of medulloblastomas by representative markers in pathologic diagnosis.	Transl Oncol	2013 Jun
medulloblastoma AND expression AND NPR3[Gene]	20823417	361	Medulloblastoma comprises four distinct molecular variants.	J Clin Oncol	2011 Apr 10
medulloblastoma AND expression AND NPR3[Gene]	25303160	1	A patient with medulloblastoma in its early developmental stage.	J Neurosurg Pediatr	2014 Dec
medulloblastoma AND expression AND NRL[Gene]	1	6	NRL and CRX Define Photoreceptor Identity and Reveal Subgroup-Specific Dependencies in Medulloblastoma.	Cancer Cell	2018 Mar 12
medulloblastoma AND expression AND OTX2[Gene]	26398939	7	OTX2 exhibits cell-context-dependent effects on cellular and molecular properties of human embryonic neural precursors and medulloblastoma cells.	Dis Model Mech	2015 Oct 1
medulloblastoma AND expression AND OTX2[Gene]	25859932	7	MiR-206, a Cerebellum Enriched miRNA Is Downregulated in All Medulloblastoma Subgroups and Its Overexpression Is Necessary for Growth Inhibition of Medulloblastoma Cells.	J Mol Neurosci	2015 Jul
medulloblastoma AND expression AND OTX2[Gene]	22558385	7	Aberrant Otx2 expression enhances migration and induces ectopic proliferation of hindbrain neuronal progenitor cells.	PLoS One	2012
medulloblastoma AND expression AND OTX2[Gene]	24816892	6	OTX2 duplication is implicated in hemifacial microsomia.	PLoS One	2014
medulloblastoma AND expression AND OTX2[Gene]	28213356	4	OTX2 Activity at Distal Regulatory Elements Shapes the Chromatin Landscape of Group 3 Medulloblastoma.	Cancer Discov	2017 Mar
medulloblastoma AND expression AND OTX2[Gene]	23523800	30	The homeobox gene Otx2 in development and disease.	Exp Eye Res	2013 Jun
medulloblastoma AND expression AND OTX2[Gene]	29490009	3	Metastatic group 3 medulloblastoma is driven by PRUNE1 targeting NME1-TGF-β-OTX2-SNAIL via PTEN inhibition.	Brain	2018 May 1
